date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:58:25	87/87	---M-Z	200	added ('OK')	text/plain	etag:%2251-4fffc6862f5c0-gzip%22	http://earthboundbrands.com/robots.txt		(from )
14:58:26	123850/123850	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Dec%202014%2013:58:29%20GMT	http://earthboundbrands.com/	D:/Logiciels/WinHTTrack/projects/agile/earthboundbrands.com/index.html	(from )
14:58:26	42/42	---M-Z	200	added ('OK')	text/plain	date:Tue,%2009%20Dec%202014%2013:58:30%20GMT	http://earthboundbrands.com/xmlrpc.php	D:/Logiciels/WinHTTrack/projects/agile/earthboundbrands.com/xmlrpc.php	(from http://earthboundbrands.com/)
14:58:27	4267/4267	---M--	200	added ('OK')	image/png	etag:%2210ab-5072a04b6f378%22	http://earthboundbrands.com/wp-content/uploads/2014/11/FullLogo_whitelogo3.png	D:/Logiciels/WinHTTrack/projects/agile/earthboundbrands.com/wp-content/uploads/2014/11/FullLogo_whitelogo3.png	(from http://earthboundbrands.com/)
14:58:27	4394/4394	---M-Z	200	added ('OK')	text/css	etag:%22112a-5047df12faf92-gzip%22	http://earthboundbrands.com/wp-content/themes/brooklyn/css/flexslider.css?ver=4.0.1	D:/Logiciels/WinHTTrack/projects/agile/earthboundbrands.com/wp-content/themes/brooklyn/css/flexsliderf39e.css	(from http://earthboundbrands.com/)
14:58:28	16668/16668	---M-Z	200	added ('OK')	text/css	etag:%22411c-5047df12f98d7-gzip%22	http://earthboundbrands.com/wp-content/themes/brooklyn/css/ut.portfolio.style.css?ver=4.0.1	D:/Logiciels/WinHTTrack/projects/agile/earthboundbrands.com/wp-content/themes/brooklyn/css/ut.portfolio.stylef39e.css	(from http://earthboundbrands.com/)
14:58:28	719/719	---M-Z	200	added ('OK')	text/xml	etag:%2299b889a9cd748e8b4eca0eb3758d138d-gzip%22	http://earthboundbrands.com/comments/feed/	D:/Logiciels/WinHTTrack/projects/agile/earthboundbrands.com/comments/feed/index.html	(from http://earthboundbrands.com/)
14:58:28	13106/13106	---M-Z	200	added ('OK')	text/xml	etag:%2214f039e9169d4576073f634f125dad20-gzip%22	http://earthboundbrands.com/feed/	D:/Logiciels/WinHTTrack/projects/agile/earthboundbrands.com/feed/index.html	(from http://earthboundbrands.com/)
14:58:28	708/708	---M-Z	200	added ('OK')	text/xml	etag:%2299b889a9cd748e8b4eca0eb3758d138d-gzip%22	http://earthboundbrands.com/front-page/feed/	D:/Logiciels/WinHTTrack/projects/agile/earthboundbrands.com/front-page/feed/index.html	(from http://earthboundbrands.com/)
14:58:29	20665/20665	---M-Z	200	added ('OK')	text/css	etag:%2250b9-50456e8c19d42-gzip%22	http://earthboundbrands.com/wp-content/plugins/ut-portfolio/assets/css/plugins/prettyphoto/prettyPhoto.css?ver=4.0.1	D:/Logiciels/WinHTTrack/projects/agile/earthboundbrands.com/wp-content/plugins/ut-portfolio/assets/css/plugins/prettyphoto/prettyPhotof39e.css	(from http://earthboundbrands.com/)
14:58:29	24464/24464	---M-Z	200	added ('OK')	text/css	etag:%225f90-50456e39e1639-gzip%22	http://earthboundbrands.com/wp-content/plugins/ut-shortcodes/css/ut-responsive-grid.css?ver=4.0.1	D:/Logiciels/WinHTTrack/projects/agile/earthboundbrands.com/wp-content/plugins/ut-shortcodes/css/ut-responsive-gridf39e.css	(from http://earthboundbrands.com/)
14:58:29	28803/28803	---M-Z	200	added ('OK')	text/css	etag:%227083-50456e39ec6bf-gzip%22	http://earthboundbrands.com/wp-content/plugins/ut-shortcodes/css/font-awesome.css?ver=4.0.1	D:/Logiciels/WinHTTrack/projects/agile/earthboundbrands.com/wp-content/plugins/ut-shortcodes/css/font-awesomef39e.css	(from http://earthboundbrands.com/)
